file	ecode	itime	resp	;
"Green1.jpg"		Green1	5000	2	;
"Green2.jpg"	Green2	5000	1	;
"Green3.jpg"	Green3	5000	2	;
"Green4.jpg"	Green4	5000	1	;
"Green5.jpg"	Green5	5000	1	;
"Green6.jpg"		Green6	5000	2	;
"Green7.jpg"	Green7	5000	1	;
"Green8.jpg"	Green8	5000	2	;
"Green9.jpg"	Green9	5000	1	;
"Green10.jpg"	Green10	5000	1	;
"Green11.jpg"		Green11	5000	2	;
"Green12.jpg"	Green12	5000	1	;
"Green13.jpg"	Green13	5000	2	;
"Green14.jpg"	Green14	5000	1	;
"Green15.jpg"	Green15	5000	1	;
"Green16.jpg"		Green16	5000	2	;
"Green17.jpg"	Green17	5000	1	;
"Green18.jpg"	Green18	5000	2	;
"Green19.jpg"	Green19	5000	1	;
"Green20.jpg"	Green20	5000	1	;
"Green21.jpg"		Green21	5000	2	;
"Green22.jpg"	Green22	5000	1	;
"Green23.jpg"	Green23	5000	2	;
"Green24.jpg"	Green24	5000	1	;
"Green25.jpg"	Green25	5000	1	;
"Green26.jpg"		Green26	5000	2	;
"Green27.jpg"	Green27	5000	1	;
"Green28.jpg"	Green28	5000	2	;
"Green29.jpg"	Green29	5000	1	;
"Green30.jpg"	Green30	5000	1	;
"Green31.jpg"		Green31	5000	2	;
"Green32.jpg"	Green32	5000	1	;
"Green33.jpg"	Green33	5000	2	;
"Green34.jpg"	Green34	5000	1	;
"Green35.jpg"	Green35	5000	1	;
"Green36.jpg"		Green36	5000	2	;
"Green37.jpg"	Green37	5000	1	;
"Green38.jpg"	Green38	5000	2	;
"Green39.jpg"	Green39	5000	1	;
"Green40.jpg"	Green40	5000	1	;
"Grey_1.jpg"	Grey_1	5000	2	;
"Grey_2.jpg"		Grey_2	5000	2	;
"Grey_3.jpg"	Grey_3	5000	1	;
"Grey_4.jpg"		Grey_4	5000	1	;
"Grey_5.jpg"	Grey_5	2	;
"Grey_6.jpg"		Grey_6	5000	2	;
"Grey_7.jpg"	Grey_7	5000	1	;
"Grey_8.jpg"	Grey_8	5000	2	;
"Grey_9.jpg"	Grey_9	5000	1	;
"Grey_10.jpg"		Grey_10	5000	2	;
"Grey_11.jpg"	Grey_11	5000	2	;
"Grey_12.jpg"		Grey_12	5000	2	;
"Grey_13.jpg"	Grey_13	5000	1	;
"Grey_14.jpg"		Grey_14	5000	1	;
"Grey_15.jpg"	Grey_15	2	;
"Grey_16.jpg"		Grey_16	5000	2	;
"Grey_17.jpg"	Grey_17	5000	1	;
"Grey_18.jpg"	Grey_18	5000	2	;
"Grey_19.jpg"	Grey_19	5000	1	;
"Grey_20.jpg"		Grey_20	5000	2	;
"Grey_21.jpg"	Grey_21	5000	2	;
"Grey_22.jpg"		Grey_22	5000	2	;
"Grey_23.jpg"	Grey_23	5000	1	;
"Grey_24.jpg"		Grey_24	5000	1	;
"Grey_25.jpg"	Grey_25	2	;
"Grey_26.jpg"		Grey_26	5000	2	;
"Grey_27.jpg"	Grey_27	5000	1	;
"Grey_28.jpg"	Grey_28	5000	2	;
"Grey_29.jpg"	Grey_29	5000	1	;
"Grey_30.jpg"		Grey_30	5000	2	;
"Grey_31.jpg"	Grey_31	5000	2	;
"Grey_32.jpg"		Grey_32	5000	2	;
"Grey_33.jpg"	Grey_33	5000	1	;
"Grey_34.jpg"		Grey_34	5000	1	;
"Grey_35.jpg"	Grey_35	2	;
"Grey_36.jpg"		Grey_36	5000	2	;
"Grey_37.jpg"	Grey_37	5000	1	;
"Grey_38.jpg"	Grey_38	5000	2	;
"Grey_39.jpg"	Grey_39	5000	1	;
"Grey_40.jpg"		Grey_40	5000	2	;
