trial,block,condition,env_duration,short_jitter,face_duration,long_jitter
1,1,BS_Neutral,5,1.5,0.2,5
2,1,BS_Neutral,5,1.5,0.2,5
3,1,BS_Neutral,5,1.5,0.2,5
4,1,BS_Neutral,5,1.5,0.2,5
5,1,BS_Neutral,5,1.5,0.2,5
6,2,BS_Negative,5,1.5,0.2,5
7,2,BS_Negative,5,1.5,0.2,5
8,2,BS_Negative,5,1.5,0.2,5
9,2,BS_Negative,5,1.5,0.2,5
10,2,BS_Negative,5,1.5,0.2,5
11,3,GS_Negative,5,1.5,0.2,5
12,3,GS_Negative,5,1.5,0.2,5
13,3,GS_Negative,5,1.5,0.2,5
14,3,GS_Negative,5,1.5,0.2,5
15,3,GS_Negative,5,1.5,0.2,5
16,4,GS_Neutral,5,1.5,0.2,5
17,4,GS_Neutral,5,1.5,0.2,5
18,4,GS_Neutral,5,1.5,0.2,5
19,4,GS_Neutral,5,1.5,0.2,5
20,4,GS_Neutral,5,1.5,0.2,5
21,5,BS_Negative,5,1.5,0.2,5
22,5,BS_Negative,5,1.5,0.2,5
23,5,BS_Negative,5,1.5,0.2,5
24,5,BS_Negative,5,1.5,0.2,5
25,5,BS_Negative,5,1.5,0.2,5
26,6,GS_Negative,5,1.5,0.2,5
27,6,GS_Negative,5,1.5,0.2,5
28,6,GS_Negative,5,1.5,0.2,5
29,6,GS_Negative,5,1.5,0.2,5
30,6,GS_Negative,5,1.5,0.2,5
31,7,BS_Negative,5,1.5,0.2,5
32,7,BS_Negative,5,1.5,0.2,5
33,7,BS_Negative,5,1.5,0.2,5
34,7,BS_Negative,5,1.5,0.2,5
35,7,BS_Negative,5,1.5,0.2,5
36,8,GS_Negative,5,1.5,0.2,5
37,8,GS_Negative,5,1.5,0.2,5
38,8,GS_Negative,5,1.5,0.2,5
39,8,GS_Negative,5,1.5,0.2,5
40,8,GS_Negative,5,1.5,0.2,5
41,9,BS_Neutral,5,1.5,0.2,5
42,9,BS_Neutral,5,1.5,0.2,5
43,9,BS_Neutral,5,1.5,0.2,5
44,9,BS_Neutral,5,1.5,0.2,5
45,9,BS_Neutral,5,1.5,0.2,5
46,10,BS_Negative,5,1.5,0.2,5
47,10,BS_Negative,5,1.5,0.2,5
48,10,BS_Negative,5,1.5,0.2,5
49,10,BS_Negative,5,1.5,0.2,5
50,10,BS_Negative,5,1.5,0.2,5
51,11,BS_Neutral,5,1.5,0.2,5
52,11,BS_Neutral,5,1.5,0.2,5
53,11,BS_Neutral,5,1.5,0.2,5
54,11,BS_Neutral,5,1.5,0.2,5
55,11,BS_Neutral,5,1.5,0.2,5
56,12,GS_Neutral,5,1.5,0.2,5
57,12,GS_Neutral,5,1.5,0.2,5
58,12,GS_Neutral,5,1.5,0.2,5
59,12,GS_Neutral,5,1.5,0.2,5
60,12,GS_Neutral,5,1.5,0.2,5
61,13,GS_Negative,5,1.5,0.2,5
62,13,GS_Negative,5,1.5,0.2,5
63,13,GS_Negative,5,1.5,0.2,5
64,13,GS_Negative,5,1.5,0.2,5
65,13,GS_Negative,5,1.5,0.2,5
66,14,GS_Neutral,5,1.5,0.2,5
67,14,GS_Neutral,5,1.5,0.2,5
68,14,GS_Neutral,5,1.5,0.2,5
69,14,GS_Neutral,5,1.5,0.2,5
70,14,GS_Neutral,5,1.5,0.2,5
71,15,BS_Neutral,5,1.5,0.2,5
72,15,BS_Neutral,5,1.5,0.2,5
73,15,BS_Neutral,5,1.5,0.2,5
74,15,BS_Neutral,5,1.5,0.2,5
75,15,BS_Neutral,5,1.5,0.2,5
76,16,GS_Neutral,5,1.5,0.2,5
77,16,GS_Neutral,5,1.5,0.2,5
78,16,GS_Neutral,5,1.5,0.2,5
79,16,GS_Neutral,5,1.5,0.2,5
80,16,GS_Neutral,5,1.5,0.2,5
